category,metric,value
metrics,mse,4464.608911318151
metrics,psnr,11.632969390980733
metrics,ssim,0.3379582134082988
energy,original,81187661453472.02
energy,transformed,67983924703968.0
energy,original_low,81054821952083.28
energy,original_high,132839501388.7432
energy,transformed_low,67877142767425.125
energy,transformed_high,106781936542.8902
energy,original_ratio,0.001638884623881762
energy,transformed_ratio,0.0015731648709605946
energy,ratio_difference,-6.571975292116736e-05
outputs,original_spectrum,results/original_spectrum.png
outputs,transformed_spectrum,results/transformed_spectrum.png
